"Code","Name","Class","Code","Categories","Time","Fine","Description"
"100","Possession of a Controlled Dangerous Substance","Misdemeanor","Criminal Code","Drugs and Alcohol","5","$5,000","Possess any amount up to 28g of Marijuana, any amount up to 5 Marijuana seeds, any amount up to 10g of Methamphetamine or any amount up to 10g of Cocaine. Possesses prescription medication or other controlled substances without a prescription."
"102","Felony Possession of a Controlled Dangerous Substance","Felony","Criminal Code","Drugs and Alcohol","30","$20,000","Possess more than 28g of Marijuana (1-3 Plants), more than 5 Marijuana seeds, more than 10g of Methamphetamine or more than 10g of Cocaine. Possesses 7+ doses of prescription medication or other controlled substances without a prescription."
"103","Drug Trafficking","Felony","Criminal Code","Drugs and Alcohol","0","$0","Transports, distributes, or cultivates large quantities of illegal substances. For this crime, large quantities are considered 200g+ marijuana, 4+ marijuana plants, 200g+ methamphetamine, 100g+ of Cocaine, or 19+ doses of other prescriptions or controlled substances. This is a Hold Until Trial Charge!"
"104","Sale of a Controlled Dangerous Substance","Felony","Criminal Code","Drugs and Alcohol","30","$40,000","Sells or Distributes a Controlled Dangerous Substance without legal authorization or licensing."
"105","Production of a Controlled Dangerous Substance","Felony","Criminal Code","Drugs and Alcohol","45","$80,000","Actively produces or attempts to produce a controlled dangerous substance with the proper medical licenses. [Methamphetamine, Cocaine, Marijuana, Prescriptions, Other Controlled Substances]"
"106","Cultivation of Marijuana","Felony","Criminal Code","Drugs and Alcohol","45","$60,000","Tending to 1 or more marijuana plants."
"120","Underage Drinking","Misdemeanor","Criminal Code","Drugs and Alcohol","0","$5,000","Consumption, purchase, or possession of alcohol by any individual under the age of 21."
"121","Public Intoxication","Misdemeanor","Criminal Code","Drugs and Alcohol","5","$5,000","Any individual who is intoxicated over the legal limit of 0.08% while in public and behaves in a manner that is reasonably disturbing to the public/public space, or is a hazard to themselves or others."
"122","Furnishing Alcohol to a Minor","Misdemeanor","Criminal Code","Drugs and Alcohol","15","$15,000","Sells or furnishes alcohol to someone under the legal drinking age of 21. If found guilty, results in the revocation of liquor licenses of involved individual(s) and associated organization(s)."
"150","Assault","Misdemeanor","Criminal Code","Injury / Harm","5","$10,000","Intentionally engages in a physical act that causes another person to fear imminent harm or offensive contact."
"151","Battery","Misdemeanor","Criminal Code","Injury / Harm","15","$16,000","Intentionally engages in physical non-consensual contact that results in harm or offense to another person."
"152","Battery against an LEO","Misdemeanor","Criminal Code","Injury / Harm","30","$130,000","Commits Battery against an LEO during the lawful execution of the LEO's duties. Must be used in place of Battery when appropriate."
"153","Felony Assault","Felony","Criminal Code","Injury / Harm","15","$20,000","Intentionally engages in a physical act that causes another person to fear imminent death OR commits assault while using a deadly weapon."
"154","Felony Battery","Felony","Criminal Code","Injury / Harm","30","$30,000","Intentionally engages in a physical act that causes severe bodily harm to another person without the intent to kill OR committing battery while using a deadly weapon."
"155","Felony Battery against an LEO","Felony","Criminal Code","Injury / Harm","60","$250,000","Commits felony battery against an LEO during the lawful execution of the LEO's duties. Must be used in place of felony battery when appropriate."
"156","Involuntary Manslaughter","Felony","Criminal Code","Injury / Harm","60","$80,000","A person unintentionally causes another’s death through criminal negligence or while committing a dangerous misdemeanor or infraction."
"157","Manslaughter","Felony","Criminal Code","Injury / Harm","120","$400,000","A person unintentionally causes another’s death by an intentional act, a felony act, or acts committed during a separate dangerous felony"
"160","Attempted Murder of a Gov. Employee","Felony","Criminal Code","Injury / Harm","40","$40,000","The attempted intentional killing of a person who is employed by the government."
"161","Attempted Second Degree Murder","Felony","Criminal Code","Injury / Harm","120","$60,000","Attempts to cause the death of a person with the intention of killing, but that is not premeditated or planned."
"162","Second Degree Murder","Felony","Criminal Code","Injury / Harm","160","$200,000","Causes the death of a person with the intention of killing, but that is not premeditated or planned."
"163","Second Degree Murder of a Government Employee","Felony","Criminal Code","Injury / Harm","0","$2,000,000","Causes the death of a government employee with the intention of killing, but is not premeditated or planned. This is a Hold Until Trial Charge!"
"164","Attempted First Degree Murder","Felony","Criminal Code","Injury / Harm","160","$250,000","The attempted intentional killing of another person by someone who has acted willfully, deliberately, and with planning and malice aforethought."
"165","First Degree Murder","Felony","Criminal Code","Injury / Harm","0","$0","The intentional killing of another person by someone who has acted willfully, deliberately, and with planning and malice aforethought. This is a Hold Until Trial Charge!"
"166","First Degree Murder of a Government Employee","Felony","Criminal Code","Injury / Harm","0","$0","The intentional killing of a government employee by someone who has acted willfully, deliberately, and with planning and malice aforethought. This is a Hold Until Trial Charge!"
"167","Attempted Mass Murder of Government Employees","Felony","Criminal Code","Injury / Harm","0","$1,800,000","The attempted intentional killing of 5+ persons who are employed by the government. This includes SASP, SAMS, DOJ, DAO, and Rangers. This is a Hold Until Trial Charge!"
"170","False Imprisonment","Misdemeanor","Criminal Code","Injury / Harm","5","$10,000","Keeps a person in an area or restrains them for an extended time against their will."
"171","Imprisonment of a Gov. Employee","Felony","Criminal Code","Injury / Harm","15","$25,000","Holds a Government Employee in an area or restrains them for an extended period of time against their will."
"172","Kidnapping","Felony","Criminal Code","Injury / Harm","15","$15,000","Takes a person against their will and abducts them without consent."
"173","Kidnapping of a Gov. Employee","Felony","Criminal Code","Injury / Harm","120","$25,000","Takes a Gov. Employee against their will and abducts them without consent. Gov. Employees include DOJ, DAO, PDO, SASP, Rangers, and SAMS."
"174","Hit and Run","Misdemeanor","Criminal Code","Injury / Harm","10","$10,000","Flees from a motor-vehicle accident without identifying themselves to the other party involved in the accident."
"175","Felony Hit and Run","Felony","Criminal Code","Injury / Harm","25","$120,000","Flees from a motor-vehicle accident that results in serious injury."
"176","Stalking","Felony","Criminal Code","Injury / Harm","20","$75,000","A pattern of repeated and unwanted attention, harassment, contact, or any other course of conduct directed at a specific person that would cause a reasonable person to feel fear."
"177","Harassment","Misdemeanor","Criminal Code","Injury / Harm","10","$7,500","Engages in a course of vexatious comment or conduct that is known or ought reasonably to be known to be unwelcome."
"178","Torture","Felony","Criminal Code","Injury / Harm","200","$100,000","Hurts someone with intent to cause cruel, prolonged, or extreme pain and suffering for revenge, extortion, persuasion, or sadistic purposes."
"179","Mayhem","Felony","Criminal Code","Injury / Harm","0","$1,200,000","Tortures or inflicts extreme emotional distress on the same person or group over 3+ days. Separate days must be within 10 days. Cannot be combined with CC160 for the same inflictions. A law enforcement agency does not fall under the definition of group. This is a Hold Until Trial Charge!"
"180","Extortion","Felony","Criminal Code","Injury / Harm","20","$4,000","Uses threats of future physician, emotional, or other harm for personal or financial gain. "
"181","Criminal Threats","Misdemeanor","Criminal Code","Injury / Harm","5","$2,500","Intentionally threatening to kill or seriously harm someone else, which causes reasonable fear."
"182","Brandishing","Misdemeanor","Criminal Code","Injury / Harm","5","$3,500","Displays a weapon in public without a legally justified reason."
"183","Gang Related Violence","Misdemeanor","Criminal Code","Injury / Harm","15","$10,000","Any person associated with a gang, motorcycle club, or criminal group who intentionally uses force or violence against another individual based on affiliation."
"184","Gang Related Shooting","Felony","Criminal Code","Injury / Harm","30","$20,000","Any person associated with a gang, motorcycle club, or criminal group who discharges a weapon against another individual based on affiliation."
"185","Reckless Endangerment","Misdemeanor","Criminal Code","Injury / Harm","5","$3,000","Engages in conduct that creates a substantial risk of physical injury or death to another person."
"190","Terrorism","Felony","Criminal Code","Injury / Harm","0","$0","Acts of deadly violence or intimidation intended to coerce civilians, influence government, or advance an ideology. Requires evidence of both harmful acts and political/ideological motivation. This is a Hold Until Trial Charge."
"200","Petty Theft","Misdemeanor","Criminal Code","Property","5","$10,000","The act of taking money or property without permission or legal right from a person or property."
"201","Grand Theft","Felony","Criminal Code","Property","20","$50,000","As theft, but a property value of 20000+ dollars. Does not apply to Theft of a Motor Vehicle, Vessel, Aircraft, or Grand Theft Auto."
"202","Theft of a Motor Vehicle","Misdemeanor","Criminal Code","Property","5","$3,000","Possesses a vehicle without the consent of the owner or the legal right to possess it without the intention of depriving the owner of the vehicle permanently."
"203","Grand Theft Auto","Felony","Criminal Code","Property","10","$13,500","Possesses a vehicle without the consent of the owner or the legal right to possess it with the intent of permanently depriving the owner of the vehicle."
"204","First Degree Robbery","Felony","Criminal Code","Property","30","$15,000","Steals money or property through force or threats of force from a Financial Institution or Government Facility."
"205","Second Degree Robbery","Felony","Criminal Code","Property","20","$12,000","Steals money or property through force or threats of force from a person or business."
"206","Vandalism","Misdemeanor","Criminal Code","Property","5","$3,900","Intentionally damaging or destroying property."
"207","Arson","Felony","Criminal Code","Property","10","$13,000","The act of deliberately setting fire to property."
"210","Trespassing","Misdemeanor","Criminal Code","Property","10","$2,500","Enters private property without consent, or remains on private property after being asked to leave by the owner."
"211","Felony Trespassing","Felony","Criminal Code","Property","20","$9,690","As trespassing, but when the trespassed area is restricted and on government property"
"212","Second Degree Burglary","Misdemeanor","Criminal Code","Property","10","$7,800","Entering a property without consent or legal right in order to commit a crime."
"213","First Degree Burglary","Felony","Criminal Code","Property","25","$12,000","As burglury, but entering a government property, financial institution, or occupied dwelling."
"214","Tampering","Misdemeanor","Criminal Code","Property","5","$6,500","Disabling security systems, bypassing locks, or interfering with protective measures without the owner's permission. Includes tampering with alarms, surveillance equipment, and access control devices on private or public property"
"215","Littering","Infraction","Criminal Code","Property","0","$1,000","Depositing waste in an inappropriate location"
"216","Theft of an Aircraft","Felony","Criminal Code","Property","20","$14,000","Operates an aircraft without permission from the owner or lawful right to operate the aircraft."
"217","Theft of a Vessel","Misdemeanor","Criminal Code","Property","10","$7,000","Operates a seaworthy vessel without permission from the owner or lawful right to operate the vessel."
"218","Theft of a Gov. Vehicle","Felony","Criminal Code","Property","40","$25,500","Steals a Government Owned vehicle without the legal right to possess it. Government owned vehicles include police vehicles, fire trucks, ambulances, and military vehicles."
"219","Vandalism of Government Property","Misdemeanor","Criminal Code","Property","10","$7,000","Intentionally damaging or destroying government property."
